country,country_code,year,indicator,indicator_code,unit,value
Argentina,ARG,2000,Esperanza de vida,SP.DYN.LE00.IN,años,73.91
Argentina,ARG,2001,Esperanza de vida,SP.DYN.LE00.IN,años,74.154
Argentina,ARG,2002,Esperanza de vida,SP.DYN.LE00.IN,años,74.312
Argentina,ARG,2003,Esperanza de vida,SP.DYN.LE00.IN,años,74.307
Argentina,ARG,2004,Esperanza de vida,SP.DYN.LE00.IN,años,74.871
Argentina,ARG,2005,Esperanza de vida,SP.DYN.LE00.IN,años,75.231
Argentina,ARG,2006,Esperanza de vida,SP.DYN.LE00.IN,años,75.279
Argentina,ARG,2007,Esperanza de vida,SP.DYN.LE00.IN,años,74.783
Argentina,ARG,2008,Esperanza de vida,SP.DYN.LE00.IN,años,75.428
Argentina,ARG,2009,Esperanza de vida,SP.DYN.LE00.IN,años,75.577
Argentina,ARG,2010,Esperanza de vida,SP.DYN.LE00.IN,años,75.68
Argentina,ARG,2011,Esperanza de vida,SP.DYN.LE00.IN,años,76.1
Argentina,ARG,2012,Esperanza de vida,SP.DYN.LE00.IN,años,75.802
Argentina,ARG,2013,Esperanza de vida,SP.DYN.LE00.IN,años,75.829
Argentina,ARG,2014,Esperanza de vida,SP.DYN.LE00.IN,años,76.268
Argentina,ARG,2015,Esperanza de vida,SP.DYN.LE00.IN,años,76.6
Argentina,ARG,2016,Esperanza de vida,SP.DYN.LE00.IN,años,76.105
Argentina,ARG,2017,Esperanza de vida,SP.DYN.LE00.IN,años,76.543
Argentina,ARG,2018,Esperanza de vida,SP.DYN.LE00.IN,años,76.77
Argentina,ARG,2019,Esperanza de vida,SP.DYN.LE00.IN,años,76.847
Argentina,ARG,2020,Esperanza de vida,SP.DYN.LE00.IN,años,75.878
Argentina,ARG,2021,Esperanza de vida,SP.DYN.LE00.IN,años,73.948
Argentina,ARG,2022,Esperanza de vida,SP.DYN.LE00.IN,años,75.806
Argentina,ARG,2023,Esperanza de vida,SP.DYN.LE00.IN,años,77.395
Argentina,ARG,2024,Esperanza de vida,SP.DYN.LE00.IN,años,77.543
Bolivia,BOL,2000,Esperanza de vida,SP.DYN.LE00.IN,años,62.057
Bolivia,BOL,2001,Esperanza de vida,SP.DYN.LE00.IN,años,62.538
Bolivia,BOL,2002,Esperanza de vida,SP.DYN.LE00.IN,años,63.068
Bolivia,BOL,2003,Esperanza de vida,SP.DYN.LE00.IN,años,63.455
Bolivia,BOL,2004,Esperanza de vida,SP.DYN.LE00.IN,años,63.819
Bolivia,BOL,2005,Esperanza de vida,SP.DYN.LE00.IN,años,64.182
Bolivia,BOL,2006,Esperanza de vida,SP.DYN.LE00.IN,años,64.529
Bolivia,BOL,2007,Esperanza de vida,SP.DYN.LE00.IN,años,64.939
Bolivia,BOL,2008,Esperanza de vida,SP.DYN.LE00.IN,años,65.299
Bolivia,BOL,2009,Esperanza de vida,SP.DYN.LE00.IN,años,65.656
Bolivia,BOL,2010,Esperanza de vida,SP.DYN.LE00.IN,años,66.003
Bolivia,BOL,2011,Esperanza de vida,SP.DYN.LE00.IN,años,66.282
Bolivia,BOL,2012,Esperanza de vida,SP.DYN.LE00.IN,años,66.586
Bolivia,BOL,2013,Esperanza de vida,SP.DYN.LE00.IN,años,66.777
Bolivia,BOL,2014,Esperanza de vida,SP.DYN.LE00.IN,años,66.97
Bolivia,BOL,2015,Esperanza de vida,SP.DYN.LE00.IN,años,67.205
Bolivia,BOL,2016,Esperanza de vida,SP.DYN.LE00.IN,años,67.392
Bolivia,BOL,2017,Esperanza de vida,SP.DYN.LE00.IN,años,67.536
Bolivia,BOL,2018,Esperanza de vida,SP.DYN.LE00.IN,años,67.699
Bolivia,BOL,2019,Esperanza de vida,SP.DYN.LE00.IN,años,67.82
Bolivia,BOL,2020,Esperanza de vida,SP.DYN.LE00.IN,años,62.906
Bolivia,BOL,2021,Esperanza de vida,SP.DYN.LE00.IN,años,61.427
Bolivia,BOL,2022,Esperanza de vida,SP.DYN.LE00.IN,años,67.434
Bolivia,BOL,2023,Esperanza de vida,SP.DYN.LE00.IN,años,68.581
Bolivia,BOL,2024,Esperanza de vida,SP.DYN.LE00.IN,años,68.739
Brasil,BRA,2000,Esperanza de vida,SP.DYN.LE00.IN,años,69.584
Brasil,BRA,2001,Esperanza de vida,SP.DYN.LE00.IN,años,69.98
Brasil,BRA,2002,Esperanza de vida,SP.DYN.LE00.IN,años,70.396
Brasil,BRA,2003,Esperanza de vida,SP.DYN.LE00.IN,años,70.884
Brasil,BRA,2004,Esperanza de vida,SP.DYN.LE00.IN,años,71.361
Brasil,BRA,2005,Esperanza de vida,SP.DYN.LE00.IN,años,71.832
Brasil,BRA,2006,Esperanza de vida,SP.DYN.LE00.IN,años,72.296
Brasil,BRA,2007,Esperanza de vida,SP.DYN.LE00.IN,años,72.73
Brasil,BRA,2008,Esperanza de vida,SP.DYN.LE00.IN,años,73.111
Brasil,BRA,2009,Esperanza de vida,SP.DYN.LE00.IN,años,73.457
Brasil,BRA,2010,Esperanza de vida,SP.DYN.LE00.IN,años,73.779
Brasil,BRA,2011,Esperanza de vida,SP.DYN.LE00.IN,años,74.047
Brasil,BRA,2012,Esperanza de vida,SP.DYN.LE00.IN,años,74.335
Brasil,BRA,2013,Esperanza de vida,SP.DYN.LE00.IN,años,74.609
Brasil,BRA,2014,Esperanza de vida,SP.DYN.LE00.IN,años,74.823
Brasil,BRA,2015,Esperanza de vida,SP.DYN.LE00.IN,años,75.106
Brasil,BRA,2016,Esperanza de vida,SP.DYN.LE00.IN,años,75.081
Brasil,BRA,2017,Esperanza de vida,SP.DYN.LE00.IN,años,75.383
Brasil,BRA,2018,Esperanza de vida,SP.DYN.LE00.IN,años,75.633
Brasil,BRA,2019,Esperanza de vida,SP.DYN.LE00.IN,años,75.809
Brasil,BRA,2020,Esperanza de vida,SP.DYN.LE00.IN,años,74.506
Brasil,BRA,2021,Esperanza de vida,SP.DYN.LE00.IN,años,73.038
Brasil,BRA,2022,Esperanza de vida,SP.DYN.LE00.IN,años,74.872
Brasil,BRA,2023,Esperanza de vida,SP.DYN.LE00.IN,años,75.848
Brasil,BRA,2024,Esperanza de vida,SP.DYN.LE00.IN,años,76.023
Chile,CHL,2000,Esperanza de vida,SP.DYN.LE00.IN,años,77.128
Chile,CHL,2001,Esperanza de vida,SP.DYN.LE00.IN,años,77.58
Chile,CHL,2002,Esperanza de vida,SP.DYN.LE00.IN,años,77.84
Chile,CHL,2003,Esperanza de vida,SP.DYN.LE00.IN,años,77.884
Chile,CHL,2004,Esperanza de vida,SP.DYN.LE00.IN,años,78.276
Chile,CHL,2005,Esperanza de vida,SP.DYN.LE00.IN,años,78.459
Chile,CHL,2006,Esperanza de vida,SP.DYN.LE00.IN,años,78.533
Chile,CHL,2007,Esperanza de vida,SP.DYN.LE00.IN,años,78.652
Chile,CHL,2008,Esperanza de vida,SP.DYN.LE00.IN,años,78.752
Chile,CHL,2009,Esperanza de vida,SP.DYN.LE00.IN,años,78.89
Chile,CHL,2010,Esperanza de vida,SP.DYN.LE00.IN,años,79.095
Chile,CHL,2011,Esperanza de vida,SP.DYN.LE00.IN,años,79.236
Chile,CHL,2012,Esperanza de vida,SP.DYN.LE00.IN,años,79.221
Chile,CHL,2013,Esperanza de vida,SP.DYN.LE00.IN,años,79.551
Chile,CHL,2014,Esperanza de vida,SP.DYN.LE00.IN,años,79.714
Chile,CHL,2015,Esperanza de vida,SP.DYN.LE00.IN,años,80.008
